,Date,Open,Close,Volume,ma10,ma30,ma40,ma10volume
0,2001-07-16,22.6,22.5,1156620,,,,
1,2001-07-23,22.389999,23.24,5851800,,,,
2,2001-07-30,22.93,23.15,3658500,,,,
3,2001-08-06,22.809998999999998,23.0,2218150,,,,
4,2001-08-13,22.809998999999998,23.93,2013890,,,,
5,2001-08-20,23.549999,23.584999,2407390,,,,
6,2001-08-27,23.605,23.655001000000002,2513690,,,,
7,2001-09-03,23.799999,23.209999,2569530,,,,
8,2001-09-10,23.625,20.385,3641670,,,,
9,2001-09-17,20.5,21.280001000000002,6783470,22.7935,,,3281471.0
10,2001-09-24,21.014999,21.709999,4944220,22.7144999,,,3660231.0
11,2001-10-01,21.65,21.415001,3390140,22.532,,,3414065.0
12,2001-10-08,21.0,23.325001,3271650,22.549500099999996,,,3375380.0
13,2001-10-15,23.299999,22.424999,2291960,22.491999999999997,,,3382761.0
14,2001-10-22,23.0,22.174999,4592400,22.316499899999997,,,3640612.0
15,2001-10-29,22.35,22.215,4518750,22.179499999999997,,,3851748.0
16,2001-11-05,22.0,21.93,5480930,22.006999899999997,,,4148472.0
17,2001-11-12,21.85,22.07,2844700,21.892999999999994,,,4175989.0
18,2001-11-19,22.5,22.514999,6439090,22.105999899999993,,,4455731.0
19,2001-11-26,22.700001,22.215,7427740,22.199499799999995,,,4520158.0
20,2001-12-03,22.1,23.415001,5511110,22.369999999999994,,,4576847.0
21,2001-12-10,23.0,22.48,4590000,22.476499899999993,,,4696833.0
22,2001-12-17,22.4,22.375,3796620,22.381499799999993,,,4749330.0
23,2001-12-24,21.799999,22.09,1864790,22.347999899999998,,,4706613.0
24,2001-12-31,21.955,22.395,2296110,22.369999999999997,,,4476984.0
25,2002-01-07,22.4,22.635,3364050,22.412,,,4361514.0
26,2002-01-14,22.65,23.73,5324110,22.591999999999995,,,4345832.0
27,2002-01-21,23.799999,22.915001,2169820,22.676500099999995,,,4278344.0
28,2002-01-28,22.610001,22.48,1536280,22.673000199999997,,,3788063.0
29,2002-02-04,22.6,22.504998999999998,6600990,22.702000099999996,22.564999966666665,,3705388.0
30,2002-02-11,22.695,23.355,3547850,22.695999999999994,22.593499966666666,,3509062.0
31,2002-02-18,24.469998999999998,24.690001000000002,5958940,22.917000099999996,22.641833333333334,,3645956.0
32,2002-02-25,25.5,23.65,5158850,23.044500099999997,22.6585,,3782179.0
33,2002-03-04,24.075001,23.445,4274030,23.180000099999994,22.673333333333336,,4023103.0
34,2002-03-11,23.309998999999998,23.495001000000002,2638370,23.290000199999994,22.65883336666667,,4057329.0
35,2002-03-18,23.799999,23.379998999999998,1794480,23.364500099999997,22.652000033333334,,3900372.0
36,2002-03-25,23.26,23.66,1393550,23.357500100000003,22.65216666666667,,3507316.0
37,2002-04-01,24.15,22.485001,4401270,23.3145001,22.62800006666667,,3730461.0
38,2002-04-08,22.85,22.32,2985740,23.298500100000002,22.69250006666667,,3875407.0
39,2002-04-15,22.700001,22.645,5712420,23.312500200000002,22.738000033333336,22.751875025,3786550.0
40,2002-04-22,22.299999,22.424999,4293440,23.2195001,22.761833366666668,22.75,3861109.0
41,2002-04-29,22.120001000000002,21.65,4874890,22.9155,22.76966666666667,22.71025,3752704.0
42,2002-05-06,21.700001,22.184998999999998,4183300,22.768999900000004,22.731666599999997,22.686124975,3655149.0
43,2002-05-13,21.51,21.905001000000002,4000710,22.615000000000002,22.714333333333332,22.658749999999998,3627817.0
44,2002-05-20,20.055,21.799999,2759510,22.445499800000004,22.701833333333333,22.605499974999997,3639931.0
45,2002-05-27,23.0,22.940001000000002,4624350,22.401500000000006,22.72600003333333,22.589375025,3922918.0
46,2002-06-03,23.1,21.715,4607960,22.207000000000004,22.71883336666667,22.540875,4244359.0
47,2002-06-10,22.15,21.985001,2858970,22.157000000000004,22.716000066666666,22.51025005,4090129.0
48,2002-06-17,22.0,21.950001,2844390,22.120000100000006,22.6971668,22.549375075,4075994.0
49,2002-06-24,21.799999,20.155001000000002,5226240,21.871000200000005,22.628500166666665,22.521250075,4027376.0
50,2002-07-01,20.0,21.34,4651910,21.762500300000006,22.55933346666667,22.5120001,4063223.0
51,2002-07-08,21.174999,20.995001000000002,3490520,21.697000400000004,22.509833500000003,22.5015001,3924786.0
52,2002-07-15,20.950001,21.415001,3068970,21.620000600000004,22.477833533333335,22.4537501,3813353.0
53,2002-07-22,21.9,21.1,4781700,21.539500500000003,22.444833533333334,22.420625125,3891452.0
54,2002-07-29,20.950001,21.0,2159700,21.459500600000002,22.398333533333336,22.39125015,3831471.0
55,2002-08-05,21.290001,21.0,1956490,21.2655005,22.343833533333335,22.360875150000002,3564685.0
56,2002-08-12,20.879998999999998,21.030001000000002,1742100,21.197000600000003,22.253833566666668,22.338375175000003,3278099.0
57,2002-08-19,21.049999,20.950001,3236630,21.0935006,22.188333566666667,22.310375200000003,3315865.0
58,2002-08-26,21.129998999999998,20.955,2605750,20.9940005,22.137500233333338,22.271375225000003,3292001.0
59,2002-09-02,21.09,21.065001000000002,1288510,21.0850005,22.089500300000005,22.242625250000003,2898228.0
60,2002-09-09,21.0,21.475,1215900,21.098500499999997,22.02683363333334,22.194125225000004,2554627.0
61,2002-09-16,21.280001000000002,22.01,2588110,21.200000399999997,21.93750026666667,22.182375225000005,2464386.0
62,2002-09-23,22.0,22.08,3644460,21.266500299999997,21.885166933333338,22.175000225000005,2521935.0
63,2002-09-30,21.700001,21.01,3309340,21.257500299999997,21.80400026666667,22.148000225000004,2374699.0
64,2002-10-07,20.950001,20.67,4021320,21.2245003,21.709833566666667,22.104875225000004,2560861.0
65,2002-10-14,20.700001,19.610001,5136380,21.0855004,21.58416696666667,22.029250250000004,2878850.0
66,2002-10-21,20.0,19.24,6329910,20.9065003,21.436833633333336,21.917000250000005,3337631.0
67,2002-10-28,19.280001000000002,18.985001,6265180,20.7100003,21.32016696666667,21.818750250000004,3640486.0
68,2002-11-04,19.200001,19.51,1188470,20.565500300000004,21.2265003,21.744500250000005,3498758.0
69,2002-11-11,19.48,19.275,4903540,20.386500200000004,21.11416696666667,21.663750275000005,3860261.0
70,2002-11-18,19.23,19.549999,2989230,20.194000100000004,21.018333633333334,21.568625250000004,4037594.0
71,2002-11-25,19.594998999999998,19.504998999999998,9228270,19.943500000000004,20.9468336,21.439000200000002,4701610.0
72,2002-12-02,19.59,19.83,4385770,19.718500000000006,20.86833363333334,21.3435002,4775741.0
73,2002-12-09,19.025,20.285,11413410,19.646000000000008,20.814333600000005,21.2645002,5586148.0
74,2002-12-16,20.5,22.045,11852410,19.783500000000004,20.822500300000005,21.228250175,6369257.0
75,2002-12-23,22.075001,21.855,4126810,20.0079999,20.786333600000003,21.1901252,6268300.0
76,2002-12-30,21.73,21.545,2483640,20.2384999,20.780666933333336,21.1372502,5883673.0
77,2003-01-06,21.540001,21.49,5959330,20.4889998,20.764166900000003,21.112375175,5853088.0
78,2003-01-13,21.575001,22.370001000000002,4989630,20.7749999,20.7781669,21.113625199999998,6233204.0
79,2003-01-20,22.4,23.75,8923630,21.2224999,20.898000200000002,21.141250199999998,6635213.0
80,2003-01-27,23.799999,23.709999,6478140,21.6384999,20.977000166666667,21.173375200000002,6984104.0
81,2003-02-03,22.200001,24.68,8118570,22.156,21.099833466666666,21.2491252,6873134.0
82,2003-02-10,24.59,24.825001,7000290,22.6555001,21.213500133333337,21.31512525,7134586.0
83,2003-02-17,24.705,25.02,6642940,23.129000100000003,21.3441668,21.393000225,6657539.0
84,2003-02-24,24.705,24.985001,4276720,23.4230002,21.477000166666667,21.472625275000006,5899970.0
85,2003-03-03,25.004998999999998,23.799999,3830510,23.617500100000004,21.570333466666668,21.494125225,5870340.0
86,2003-03-10,23.82,23.924999,2586570,23.8555,21.666833399999998,21.5493752,5880633.0
87,2003-03-17,23.860001,47.610001000000004,5593375,26.467500100000002,22.555500066666664,22.1900002,5844037.5
88,2003-03-24,24.879998999999998,23.625,3066080,26.593,22.644500066666662,22.231875175,5651682.5
89,2003-03-31,23.4,23.934998999999998,3545260,26.611499900000002,22.74016666666666,22.326375125,5113845.5
90,2003-04-07,24.1,23.965,5524280,26.637,22.823166666666662,22.392000125,5018459.5
91,2003-04-14,24.5,24.709999,9341940,26.6399999,22.91316663333333,22.484875074999998,5140796.5
92,2003-04-21,24.6,24.450001,6011630,26.602499899999998,22.992166666666662,22.560750075,5041930.5
93,2003-04-28,24.6,25.26,7544220,26.6264999,23.133833333333328,22.664750075,5132058.5
94,2003-05-05,25.5,24.575001,5383980,26.585499899999995,23.264000033333332,22.754125100000003,5242784.5
95,2003-05-12,24.5,25.115,2941280,26.716999999999995,23.447499999999998,22.8570001,5153861.5
96,2003-05-19,25.375,24.299999,4522270,26.754499999999997,23.61616663333333,22.938750050000003,5347431.5
97,2003-05-26,24.6,24.51,5262110,24.444499899999993,23.800333266666662,23.027750025,5314305.0
98,2003-06-02,24.305,25.940001000000002,15404680,24.675999999999995,24.01466663333333,23.15237505,6548165.0
99,2003-06-09,26.059998999999998,25.174999,8074880,24.799999999999994,24.211333266666664,23.255125,7001127.0
100,2003-06-16,25.200001,24.82,7295170,24.885499999999993,24.386999966666668,23.338749999999997,7178216.0
101,2003-06-23,24.9,24.83,8946660,24.897500099999995,24.564500000000002,23.40925,7138688.0
102,2003-06-30,25.0,27.674999,25475690,25.219999899999994,24.825999966666664,23.549124974999998,9085094.0
103,2003-07-07,27.025,28.98,16571480,25.591999899999998,25.115833300000002,23.748374974999997,9987820.0
104,2003-07-14,29.4,27.66,11626580,25.9004998,25.30299996666667,23.923124975,10612080.0
105,2003-07-21,27.799999,26.485001,11916150,26.0374999,25.457333333333334,24.094999975,11509567.0
106,2003-07-28,26.950001,26.639999,6599360,26.2714999,25.627166633333335,24.279999949999997,11717276.0
107,2003-08-04,26.610001,27.525,9781830,26.572999899999996,25.8283333,24.493499925,12169248.0
108,2003-08-11,27.209999,26.73,6384280,26.6519998,25.9736666,24.673999924999997,11267208.0
109,2003-08-18,26.75,28.9,10881220,27.024499899999995,26.14533326666667,24.914624925,11547842.0
110,2003-08-25,28.870001000000002,27.57,13654610,27.299499899999994,26.27399996666667,25.11512495,12183786.0
111,2003-09-01,27.5,27.969998999999998,14473220,27.613499799999992,26.383666600000005,25.32674995,12736442.0
112,2003-09-08,27.65,27.934998999999998,9402750,27.639499799999992,26.487333200000002,25.529374925,11129148.0
113,2003-09-15,27.879998999999998,27.174999,10218010,27.458999699999993,26.5591665,25.701624899999995,10493801.0
114,2003-09-22,27.5,27.145,9947790,27.40749969999999,26.631166466666667,25.829124899999993,10325922.0
115,2003-09-29,27.49,29.445,24270820,27.703499599999986,26.81933316666667,26.018874899999993,11561389.0
116,2003-10-06,29.75,30.540001,34552600,28.09349979999999,27.039833233333336,26.243749924999992,14356713.0
117,2003-10-13,30.84,31.65,23538700,28.50599979999999,26.5078332,26.497749924999994,15732400.0
118,2003-10-20,31.700001,30.790001,12969810,28.91199989999999,26.746666566666665,26.708249924999997,16390953.0
119,2003-10-27,30.645,31.605,17438620,29.182499899999993,27.002333266666668,26.904624924999997,17046693.0
120,2003-11-03,32.049999,30.525,15652190,29.477999899999993,27.220999933333335,27.07499995,17246451.0
121,2003-11-10,31.465,29.745001000000002,9794560,29.655500099999994,27.38883333333333,27.201624974999998,16778585.0
122,2003-11-17,29.9,30.295,13010990,29.891500199999996,27.58366663333333,27.338374950000002,17139409.0
123,2003-11-24,30.9,30.26,17015270,30.200000299999992,27.750333299999998,27.469374950000002,17819135.0
124,2003-12-01,30.700001,32.830002,38786950,30.768500499999995,28.025499999999997,27.665499975,20703051.0
125,2003-12-08,32.75,36.264998999999996,28070720,31.450500399999992,28.397166633333327,27.977124975,21083041.0
126,2003-12-15,36.59,35.830002,14810510,31.97950049999999,28.781500066666663,28.274750049999994,19108832.0
